gender,workclass,education_num,marital_status,occupation,relationship,institute_type,asset_class_cd,portfolio_type,approved,approved_loan_amount,age,has_capital_loss,hours_per_week_log,inquiry_purpose_code_log,account_type_log
 Male, Private,16.0, Married-civ-spouse, Exec-managerial, Husband,NBF,S,I,1.0,1684000.0,65.0,0,3.713572066704308,2.6390573296152584,5.247024072160486
 Male, Private,11.0, Married-civ-spouse, Exec-managerial, Husband,PVT,S,R,1.0,317000.0,59.0,0,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Protective-serv, Husband,PVT,S,R,1.0,1363000.0,57.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
 Male, Private,9.0, Married-civ-spouse, Transport-moving, Husband,HFC,S,M,1.0,1154000.0,47.0,0,3.713572066704308,2.70805020110221,4.07753744390572
 Male, Private,13.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,I,1.0,700000.0,68.0,0,3.9318256327243257,2.0794415416798357,5.247024072160486
 Male, Private,13.0, Married-civ-spouse, Adm-clerical, Husband,NBF,S,I,1.0,1149000.0,32.0,0,3.713572066704308,2.6390573296152584,5.247024072160486
 Male, Local-gov,15.0, Married-civ-spouse, Prof-specialty, Husband,PVT,S,R,1.0,1977000.0,61.0,1,3.713572066704308,4.605170185988092,1.791759469228055
 Male, Local-gov,13.0, Married-civ-spouse, Protective-serv, Husband,NBF,S,I,1.0,1210000.0,40.0,0,3.713572066704308,2.6390573296152584,5.247024072160486
MALE, Federal-gov,13.0, Married-civ-spouse, Adm-clerical, Husband,NBF,S,I,1.0,711000.0,53.0,0,3.828641396489095,2.6390573296152584,5.247024072160486
 Male, Federal-gov,13.0, Married-civ-spouse, Adm-clerical, Husband,PVT,S,R,1.0,701000.0,58.0,0,3.713572066704308,1.0986122886681098,1.791759469228055
 Female, Private,12.0, Married-civ-spouse, Exec-managerial, Wife,NBF,S,R,1.0,944000.0,47.0,0,3.9318256327243257,2.6390573296152584,1.791759469228055
 Male, Local-gov,9.0, Married-civ-spouse, Protective-serv, Husband,PVT,S,R,1.0,1321000.0,55.0,0,3.713572066704308,2.6390573296152584,1.791759469228055
